Course Name,Course Code,Section,Index
INTRODUCTION TO ARAMAIC,01:013:110,90,09212
ELEMENTARY ARABIC I,01:013:140,01,09214
ELEMENTARY ARABIC I,01:013:140,02,09216
ELEMENTARY ARABIC II,01:013:141,01,09218
ELEMENTARY ARABIC II,01:013:141,02,09220
ELEM MODERN HEBREW,01:013:153,90,09222
ELEMENTARY HINDI I,01:013:160,01,09224
ELEMENTARY HINDI II,01:013:161,01,09226
ELEMENTARY URDU II,01:013:163,01,09228
ELEMENTARY PERSIAN II,01:013:177,01,09229
ELEMENTARY PERSIAN II,01:013:177,02,21910
ELEMENTARY TURKISH II,01:013:191,01,09232
ELEMENTARY TURKISH II,01:013:191,02,21948
JEWISH-MUSLIM RELATIONS: HISTORY        AND CULTURE,01:013:208,01,21834
AFRICAN IMMIGRANT LITERATURE,01:013:217,01,09235
INTRODUCTION TO THE QUR'AN,01:013:220,01,09236
GLOBAL ARABIC,01:013:225,90,09238
INTERMEDIATE ARABIC II,01:013:241,02,09242
INTERMED MOD HEBREW,01:013:253,90,09244
INTERMEDIATE HINDI II,01:013:261,01,09246
INTERMEDIATE PERSIAN II,01:013:277,01,09248
INTERMEDIATE PERSIAN II,01:013:277,02,21898
INTERMEDIATE TURKISH II,01:013:291,01,09251
INTERMEDIATE TURKISH II,01:013:291,02,21951
"TOPICS IN AFRICAN, MIDDLE EASTERN AND SOUTH ASIAN LANGU..",01:013:302,M1,09254
"TOPICS IN AFRICAN, MIDDLE EASTERN AND SOUTH ASIAN LANGU..",01:013:302,M2,23448
"TOPICS IN AFRICAN, MIDDLE EASTERN AND SOUTH ASIAN LANGU..",01:013:302,M3,23449
INTRODUCTION TO TRANSLATION STUDIES,01:013:304,01,09256
INTRODUCTION TO POSTCOLONIAL LITERATURESAND THEORIES,01:013:307,01,09258
INDEPENDENT STUDY,01:013:321,01,09260
OTTOMAN AFRICA,01:013:324,01,09261
ADVANCED ARABIC II,01:013:341,01,09262
ADV MODERN HEBREW,01:013:353,90,09264
ADVANCED PERSIAN,01:013:377,01,09268
ADVANCED PERSIAN,01:013:377,02,21946
ADVANCED TURKISH,01:013:391,01,09271
ADVANCED TURKISH,01:013:391,02,21945
SENIOR SEMINAR IN LITERATURE AND SOCIETY,01:013:401,01,09273
MODERN URDU LITERATURE AND POPULAR CULTURE,01:013:433,01,09274
TOPICS IN AFRICANA STUDIES,01:014:101,M2,09275
INTRODUCTION TO AFRICANA STUDIES,01:014:103,01,09276
INTRODUCTION TO AFRICANA STUDIES,01:014:103,02,09277
INTRODUCTION TO AFRICANA STUDIES,01:014:103,03,09278
INTRODUCTION TO AFRICANA STUDIES,01:014:103,04,09279
AFRICAN-AMERICAN LITERATURE,01:014:130,01,09280
BLACK EXPERIENCE AND FILM MEDIUM,01:014:132,01,09281
INTRODUCTION TO AMERICAN CULTURES,01:014:140,MA,09282
BLACK EXPERIENCE IN AMERICA,01:014:203,01,09283
BLACK EXPERIENCE IN AMERICA,01:014:203,02,09284
THE BLACK WOMAN,01:014:206,01,09286
BLACK MALE IDENTITY IN THE UNITED STATES,01:014:207,01,09288
INDEPENDENT STUDY,01:014:224,01,09289
INTRODUCTION TO RESEARCH IN AFRICANA    STUDIES,01:014:233,01,09290
MENTORING AS A PUBLIC SERVICE I,01:014:286,01,09291
TOPICS IN AFRICANA STUDIES,01:014:302,01,09293
TOPICS IN AFRICANA STUDIES,01:014:302,02,09295
TOPICS IN AFRICANA STUDIES,01:014:302,03,09296
TOPICS IN AFRICANA STUDIES,01:014:302,04,09297
AFROMUSICOLOGY,01:014:304,01,09299
"RACE, INTERNATIONAL LAW AND EMPIRE",01:014:305,01,09300
BLACK PROFILES,01:014:317,01,09303
SUPERVISED COMMUNITY PLACEMENT,01:014:341,01,09304
HEALTH ISSUES IN THE AFRICAN-AMERICAN COMMUNITY,01:014:347,01,09305
BLACK COMMUNITY LAW AND SOCIAL CHANGE,01:014:353,01,09306
PAN-AFRICAN MOVEMENT,01:014:376,01,09307
BLACKS IN SCIENCE,01:014:380,01,09308
MENTORING AS PUBLIC SERVICE II,01:014:385,01,09309
AFRICAN AMERICANS & SPORTS,01:014:386,01,09310
RACE IN TODAY'S WORLD,01:014:404,90,09311
RACE IN TODAY'S WORLD,01:014:404,91,09312
SEMINAR IN AFRICANA STUDIES,01:014:490,01,09313
SEMINAR IN AFRICANA STUDIES,01:014:490,02,09314
SEMINAR IN AFRICANA STUDIES,01:014:490,03,09315
SEMINAR IN AFRICANA STUDIES,01:014:490,04,09316
INDEPENDENT STUDY,01:014:492,01,09318
AFRICANA STUDIES SCHOLARS PROJECT,01:014:498,01,09319
IND STY AFRICAN AREA,01:016:302,01,09320
DIRECT INTRN AFR STY,01:016:304,01,09321
INTRODUCTION TO AMERICAN STUDIES,01:050:101,01,09322
INTRODUCTION TO RACE AND ETHNICITY IN AMERICA,01:050:102,01,09323
SPRINGSTEEN'S AMERICAN VISION,01:050:215,01,09324
THE BLACK EXPERIENCE IN AMERICA,01:050:246,01,09285
POPULAR CULTURE,01:050:259,01,22451
CULT FILMS IN AMERICAN CULTURE,01:050:266,01,09325
"AMERICAN FOOD, PAST AND PRESENT",01:050:272,01,09327
TOPICS IN AMERICAN STUDIES,01:050:281,MA,23997
TOPICS IN AMERICAN STUDIES,01:050:282,01,09328
TOPICS IN AMERICAN STUDIES,01:050:282,02,09329
TOPICS IN AMERICAN STUDIES,01:050:282,MA,23998
TOPICS IN AMERICAN STUDIES,01:050:283,MA,22948
TOPICS IN AMERICAN STUDIES,01:050:284,MB,09330
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,B1,09331
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,C2,09332
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,D1,09333
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,G1,09334
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,K1,09335
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,S1,09336
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,S2,09337
TOPICS IN AMERICAN STUDIES,01:050:300,01,09338
TOPICS IN AMERICAN STUDIES,01:050:301,01,09342
TOPICS IN AMERICAN STUDIES,01:050:302,01,09343
AMERICAN DETECTIVE FICTION AND FILM,01:050:306,90,09346
APPROACHES TO AMERICAN STUDIES,01:050:310,01,09347
TWENTY-FIRST CENTURY EXPRESSION: ON AND OFF THE NET,01:050:316,01,09348
AMERICAN HORROR,01:050:323,90,09349
WAYWARD AMERICANS,01:050:324,90,09350
NATIVE AMERICAN LITERATURE IN ENGLISH,01:050:376,01,09351
INTERNSHIP IN AMERICAN STUDIES,01:050:381,01,09353
JUNIOR SEMINAR,01:050:389,01,09354
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,A1,09355
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,C2,09356
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,G1,09357
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,K1,09358
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,S1,09359
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,S2,09360
CULTURE AND SOCIAL LIFE,01:070:101,01,09363
CULTURE AND SOCIAL LIFE,01:070:101,02,09364
CULTURE AND SOCIAL LIFE,01:070:101,H1,09365
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,01,09366
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,02,09367
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,03,09368
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,04,09369
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,05,09370
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,06,09371
INTRODUCTION TO MICROBIOMES,01:070:104,01,21814
INTRO TO ARCHAEOLOGY,01:070:105,01,09372
